,,,,,,+7(495)925-11-55,,
,,,,,,https://mc.ru,,
,,,,,Прайс-лист   от   24.04.2026   15:41,,,
Нержавейка,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.2 ,т,257320,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B+PE (матовый),2 ,т,273780
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.2 ,т,262960,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B+PE (матовый),2 ,т,279450
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.2 ,т,265860,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B+PE (матовый),3 ,т,271530
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.5 ,т,249830,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B+PE (матовый),3 ,т,276590
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.5 ,т,257320,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   2B+РЕ,0.5 ,т,317200
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),1.5 ,т,290000,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),0.5 ,т,309430
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),2 ,т,257320,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),0.8 ,т,285100
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),2 ,т,268000,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),1 ,т,299810
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),2 ,т,270000,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),1.5 ,т,280570
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),2.5 ,т,261880,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),1.5 ,т,287000
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),2.5 ,т,272000,,х/к н/с   AISI 304 (08Х18Н10)   4N (шлиф.),1.5 ,т,295590
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),3 ,т,261760,,х/к н/с   AISI 304 (08Х18Н10)   4N+LASER PE (шлиф.),3 ,т,319100
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   2B (матовый),3 ,т,262000,,х/к н/с   AISI 304 (08Х18Н10)   4N+LPE (шлиф.),1.5 ,т,338000
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
СТАЛЬ ЛИСТОВАЯ НЕРЖАВ НИКЕЛЕСОД (продолжение),,,,,х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),3 ,т,280270
Марка,толщина,Ед.изм,Цена,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE,0.7 ,т,377030,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),3 ,т,281810
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.5 ,т,282740,,,,,
,,,,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),3 ,т,282840
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.5 ,т,323550,,,,,
,,,,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   BA,0.7 ,т,286350
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.6 ,т,274920,,,,,
,,,,,х/к н/с   AISI 304 (08Х18Н10)   BA,0.8 ,т,295590
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.6 ,т,278320,,х/к н/с   AISI 304 (08Х18Н10)   BA(зеркальный),1.2 ,т,292820
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.7 ,т,288930,,х/к н/с   AISI 304 (08Х18Н10)   BA+Paper (зеркало),0.4 ,т,306680
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.8 ,т,272660,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.5 ,т,299810
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.8 ,т,279450,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.5 ,т,312730
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.8 ,т,285960,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.6 ,т,281710
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),0.8 ,т,288860,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.7 ,т,298380
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1 ,т,279450,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.8 ,т,285100
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1 ,т,291720,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),0.8 ,т,289630
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1 ,т,304330,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1 ,т,286240
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1.2 ,т,277180,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1 ,т,293940
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1.2 ; 1.5; 1.5,т,280570,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1 ,т,304330
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1.5 ,т,281810,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1.2 ,т,294240
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),1.5 ,т,287840,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1.5 ,т,281710
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),2 ,т,0,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),1.5 ,т,286240
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),2 ,т,273780,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),2 ,т,286760
,,,,,,,,
,,,,,,,,
х/к н/с   AISI 304 (08Х18Н10)   4N+PE (шлиф.),2 ,т,293010,,х/к н/с   AISI 304 (08Х18Н10)   BA+PE (зеркальный),3 ,т,328110
,,,,,,,,
,,,,,,,,
